input,target
"grammar: While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends, it is highly unlikely, that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive.","While the travel company will most likely show them some interesting sites in order for their customers to advertise their company to their family and friends, it is highly unlikely that the company will tell them about sites that were not included in the tour -- for example, due to entrance fees that would make the total package price overly expensive."
"grammar: While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends, it is highly unlikely, that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive.","While the travel company will most likely show their customers some interesting sites in order for them to advertise by word of mouth, it is highly unlikely that the company will tell them about sites that were not included in the tour -- for example, those with entrance fees that would make the total package price overly expensive."
grammar: Disadvantage is parking their car isn'tery difficult.,A disadvantage is that parking their cars isn'tery difficult.
grammar: Disadvantage is parking their car isn'tery difficult.,A disadvantage is that parking their car isn'tery difficult.
grammar: Disadvantage is parking their car isn'tery difficult.,The disadvantage is that parking their car isn'tery difficult.
grammar: Disadvantage is parking their car isn'tery difficult.,The disadvantage is that parking their car isn'tery difficult.
grammar: Bigger farming are use more chemical product and substance to feed fish.,Bigger farming is using more chemical products and substances to feed fish.
grammar: Bigger farming are use more chemical product and substance to feed fish.,Big farming are using more chemical products and substances to feed fish.
grammar: Bigger farming are use more chemical product and substance to feed fish.,Bigger farms are using more chemical products and substances to feed fish.
grammar: Bigger farming are use more chemical product and substance to feed fish.,Bigger farms are using more chemical products and substances to feed fish.
"grammar: Forexample, My cousin is 12years old.","For example, my cousin is 12 years old."
"grammar: Forexample, My cousin is 12years old.","For example, my cousin is 12 years old."
"grammar: Forexample, My cousin is 12years old.","For example, my cousin is 12 years old."
"grammar: Forexample, My cousin is 12years old.","For example, my cousin is 12 years old."
"grammar: if it does, you will only get some misundrestood idea about that acticle but not the original one.","If it does, you will only get some misunderstood idea about that article but not the original one."
"grammar: if it does, you will only get some misundrestood idea about that acticle but not the original one.","If it does, you will get a mistaken idea about that article but not the intended idea."
"grammar: if it does, you will only get some misundrestood idea about that acticle but not the original one.","If it does, you will get some misunderstood idea about the article instead of the original one."
"grammar: if it does, you will only get some misundrestood idea about that acticle but not the original one.","If it does, you will only get some misunderstood idea about that article but not the original one."
"grammar: Secondly, chimp can also present the capability for grammer which means it can demonstrate the ability to combine words and be able to use grammatical constructions.","Secondly, chimps are also capable of learning grammar, meaning they can demonstrate the ability to combine words and utilize grammatical constructions."
"grammar: Secondly, chimp can also present the capability for grammer which means it can demonstrate the ability to combine words and be able to use grammatical constructions.","Secondly, chimp can also present the capability for grammar, which means it can demonstrate the ability to combine words and be able to use grammatical constructions."
"grammar: Secondly, chimp can also present the capability for grammer which means it can demonstrate the ability to combine words and be able to use grammatical constructions.","Secondly, a chimp can also show the capability for grammar, which means it can demonstrate the ability to combine words and use grammatical constructions."
"grammar: Secondly, chimp can also present the capability for grammer which means it can demonstrate the ability to combine words and be able to use grammatical constructions.","Secondly, chimps can also present the capability for grammar, which means they demonstrate the ability to combine words and use grammatical constructions."
"grammar: Nevertheless, this city is having a big change.","Nevertheless, this city is going through a big change."
"grammar: Nevertheless, this city is having a big change.","Nevertheless, this city is experiencing a big change."
"grammar: Nevertheless, this city is having a big change.","Nevertheless, this city is undergoing a big change."
"grammar: Nevertheless, this city is having a big change.","Nevertheless, this city is undergoing a big change."
"grammar: I think to learn facts is only an evidence if the students can work hard and if they are able to keep every detailled information as tought, but it's definitly not an evidence for their intelligence.","I think to learn facts is only evidence if the students can work hard and if they are able to keep every detailed information taught, but it's definitely not evidence of their intelligence."
"grammar: I think to learn facts is only an evidence if the students can work hard and if they are able to keep every detailled information as tought, but it's definitly not an evidence for their intelligence.","I think to learn facts is only effective if the students can work hard and they are able to keep every detailed information as taught, but it's definitely not a measure of their intelligence."
"grammar: I think to learn facts is only an evidence if the students can work hard and if they are able to keep every detailled information as tought, but it's definitly not an evidence for their intelligence.","I think that to learn facts is only proof that the students can work hard and that they are able to retain detailed information they are taught, but it's definitely not proof of their intelligence."
"grammar: I think to learn facts is only an evidence if the students can work hard and if they are able to keep every detailled information as tought, but it's definitly not an evidence for their intelligence.","I think learning facts is only evidence of whether students can work hard and if they are able to retain every detail of information they are taught, but it's definitely not evidence of their intelligence."
"grammar: Unforturntly, almost older people can not use internet, in spite of benefit of internet.","Unfortunately, in spite of its benefits, many older people can not use the Internet."
"grammar: Unforturntly, almost older people can not use internet, in spite of benefit of internet.","Unfortunately, most older people can not use the internet, in spite of benefits of the internet."
"grammar: Unforturntly, almost older people can not use internet, in spite of benefit of internet.","Unfortunately, almost all older people can not use the internet in spite of the benefits."
"grammar: Unforturntly, almost older people can not use internet, in spite of benefit of internet.","Unfortunately, most older people can not use the internet in spite of its benefits."
"grammar: So, if i have alot of information about this subject, i will taulk too much with knowledge but if i have general information for this subject, i will talk about this subjec with my limited knowlege and this case may be make me shame like when my brother asked me about some thing but i have not alot of information about this thing.","So, if I have a lot of information about this subject, I will talk a lot with knowledge but if I have general information for this subject, I will talk about this subject with my limited knowledge and this case may make me shameful like when my brother asked me about some thing but I did not have a lot of information about this thing."
"grammar: So, if i have alot of information about this subject, i will taulk too much with knowledge but if i have general information for this subject, i will talk about this subjec with my limited knowlege and this case may be make me shame like when my brother asked me about some thing but i have not alot of information about this thing.","So, if I have a lot of information about this subject, I will talk with too much knowledge but if I have only general information for this subject, I will talk with only my limited knowledge and in this case may be ashamed like when my brother asked me about something but I did not have a lot of information on the subject."
"grammar: So, if i have alot of information about this subject, i will taulk too much with knowledge but if i have general information for this subject, i will talk about this subjec with my limited knowlege and this case may be make me shame like when my brother asked me about some thing but i have not alot of information about this thing.","So if I have a lot of information about a subject, then I will talk with too much knowledge, but if i have just general information about the subject, then I will talk about it with my limited knowledge, and this may cause me shame, like when my brother asked me about something but I did not have a lot of information about the subject."
"grammar: So, if i have alot of information about this subject, i will taulk too much with knowledge but if i have general information for this subject, i will talk about this subjec with my limited knowlege and this case may be make me shame like when my brother asked me about some thing but i have not alot of information about this thing.","So, if I have a lot of information about this subject, I will talk too much because of that knowledge, but if I only have general information about it, I will convey my limited knowledge and this may make me feel ashamed, like when my brother asked me about something that I didn't have a lot of information about."
grammar: becuse if i see some one did somthing to may safe me time and engy and it wok's i will do it.,"Because if I see someone did something that may save me time and energy and it works, I will do it."
grammar: becuse if i see some one did somthing to may safe me time and engy and it wok's i will do it.,Because if I see that someone did something that may save me time and energy and it works I will also do it.
grammar: becuse if i see some one did somthing to may safe me time and engy and it wok's i will do it.,"Because if I see someone did something to save me time and energy and it works, I will do it."
grammar: becuse if i see some one did somthing to may safe me time and engy and it wok's i will do it.,"If I see that someone did something that may save me me time and energy, and it works, then I will do it too."
grammar: The government should think about the whole nature.,The government should think about all nature.
grammar: The government should think about the whole nature.,The government should think about nature as a whole.
grammar: The government should think about the whole nature.,The government should think about the whole nature.
grammar: The government should think about the whole nature.,The government should think about the whole of nature.
grammar: They will not be able to compete with other similar brands and the product will fizzle out or die.,They will not be able to compete with other similar brands and the product will fizzle out or die.
grammar: They will not be able to compete with other similar brands and the product will fizzle out or die.,They will not be able to compete with other similar brands and the product will fizzle out or die.
grammar: They will not be able to compete with other similar brands and the product will fizzle out or die.,They will not be able to compete with similar brands and the product will fizzle out or die.
grammar: They will not be able to compete with other similar brands and the product will fizzle out or die.,They will not be able to compete with other similar brands and the product will fizzle out or die.
grammar: People are now opening their eyes to the scenario when we would run out of fuel.,People are now opening their eyes to the scenario when we would run out of fuel.
grammar: People are now opening their eyes to the scenario when we would run out of fuel.,People are now opening their eyes to the scenario that happens when we run out of fuel.
grammar: People are now opening their eyes to the scenario when we would run out of fuel.,People are now opening their eyes to the scenario where we could run out of fuel.
grammar: People are now opening their eyes to the scenario when we would run out of fuel.,People are now opening their eyes to the scenario that we could run out of fuel.
grammar: For me it was great because I need to talk on the phone locally and nationally for long periods of time.,"For me, it was great because I need to talk on the phone locally and nationally for long periods of time."
grammar: For me it was great because I need to talk on the phone locally and nationally for long periods of time.,For me it was great because I need to talk on the phone locally and nationally for long periods of time.
grammar: For me it was great because I need to talk on the phone locally and nationally for long periods of time.,"For me, it was great because I need to talk on the phone both locally and nationally for long periods of time."
grammar: For me it was great because I need to talk on the phone locally and nationally for long periods of time.,"For me, it was great because I need to talk on the phone locally and nationally for long periods of time."
grammar: They only care if the effects are good and popular among the crowds.,They only care if the effects are good and popular among the crowds.
grammar: They only care if the effects are good and popular among the crowds.,They only care if the effects are good and popular among the crowds.
grammar: They only care if the effects are good and popular among the crowds.,They only care if the effects are good and popular with the crowds.
grammar: They only care if the effects are good and popular among the crowds.,They only care if the effects are good and popular among the crowds.
"grammar: That is why calculated risks, as one could call them, are the predecessors of big success, because they get people's attention by giving people new options.","That is why calculated risks, as one could call them, are the predecessors of big success, because they get people's attention by giving people new options."
"grammar: That is why calculated risks, as one could call them, are the predecessors of big success, because they get people's attention by giving people new options.","That is why calculated risks, as one could call them, are the predecessors of big success, because they get people's attention by giving people new options."
"grammar: That is why calculated risks, as one could call them, are the predecessors of big success, because they get people's attention by giving people new options.","That is why calculated risks, as one could call them, are the predecessors of big success, because they get people's attention by giving people new options."
"grammar: That is why calculated risks, as one could call them, are the predecessors of big success, because they get people's attention by giving people new options.","Calculated risks, as one could call them, are the predecessors of big success because they get people's attention by giving them new options."
"grammar: He said in other words that the more flouride may create damage in human body, specifically the bone.","He said in other words that the more fluoride may create damage in the human body, specifically the bone."
"grammar: He said in other words that the more flouride may create damage in human body, specifically the bone.","He said, in other words, that more fluoride may create damage in the human body, specifically the bone."
"grammar: He said in other words that the more flouride may create damage in human body, specifically the bone.","He said, in other words, that more fluoride may create damage to the human body, specifically the bones."
"grammar: He said in other words that the more flouride may create damage in human body, specifically the bone.","In other words, he said that more fluoride may damage the human body, specifically the bones."
grammar: When these people create their new ideas others often lookn'tery strange on them.,"When these people create their new ideas, others often lookn'tery strange to them."
grammar: When these people create their new ideas others often lookn'tery strange on them.,When these people create their new ideas others often lookn'tery strangely on them.
grammar: When these people create their new ideas others often lookn'tery strange on them.,When these people create new ideas others often lookn'tery strange at them.
grammar: When these people create their new ideas others often lookn'tery strange on them.,"When these people create new ideas, others often lookn'tery strangely at them."
grammar: You will learn to socialize with people.,You will learn to socialize with people.
grammar: You will learn to socialize with people.,You will learn to socialize with people.
grammar: You will learn to socialize with people.,You will learn to socialize with people.
grammar: You will learn to socialize with people.,You will learn to socialize with people.
"grammar: No ohter transportation concept has been as successful as the car, not only because the goog street and highway system throughout the United States and Europe, but only because off the fact, that people love their cars.","No other transportation concept has been as successful as the car, not only because they can go on the street and highway system throughout the United States and Europe, but because of the fact that people love their cars."
"grammar: No ohter transportation concept has been as successful as the car, not only because the goog street and highway system throughout the United States and Europe, but only because off the fact, that people love their cars.","No other transportation concept has been as successful as the car, not only because of the good street and highway systems throughout the United States and Europe, but also because of the fact that people love their cars."
"grammar: No ohter transportation concept has been as successful as the car, not only because the goog street and highway system throughout the United States and Europe, but only because off the fact, that people love their cars.","No other transportation concept has been as successful as the car, not only because of the good street and highway system throughout the United States and Europe, but also because of the fact that people love their cars."
"grammar: No ohter transportation concept has been as successful as the car, not only because the goog street and highway system throughout the United States and Europe, but only because off the fact, that people love their cars.","No other transportation concept has been as successful as the car, not only because of good streets and highway systems throughout the United States and Europe, but also because of the fact that people love their cars."
"grammar: If they prefer to choose cars than motor bike, that means there will be many cars.","If they prefer to choose cars than motor bikes, that means there will be many cars."
"grammar: If they prefer to choose cars than motor bike, that means there will be many cars.","If people prefer to choose cars over motorbikes, that means there will be many cars."
"grammar: If they prefer to choose cars than motor bike, that means there will be many cars.","If they prefer to choose cars instead of motor bikes, there will be many cars."
"grammar: If they prefer to choose cars than motor bike, that means there will be many cars.","If they prefer to choose cars over motor bikes, that means that there will be many cars."
grammar: That's why he is a legend in these days and people repect him.,That's why he is a legend in these days and people respect him.
grammar: That's why he is a legend in these days and people repect him.,That's why he is a legend these days and people respect him.
grammar: That's why he is a legend in these days and people repect him.,"That's why he is a legend in these days, and why people respect him."
grammar: That's why he is a legend in these days and people repect him.,That's why he is a legend in these days and people respect him.
"grammar: for example, in math club, teachers usually teach us how to solve a math problem usingn'tary ways.","In math club for example, teachers usually show how to solve a math problem in different ways."
"grammar: for example, in math club, teachers usually teach us how to solve a math problem usingn'tary ways.","For example, in math club, teachers usually teach us how to solve a math problem usingn'tarious ways."
"grammar: for example, in math club, teachers usually teach us how to solve a math problem usingn'tary ways.","For example, in math club, teachers usually teach us how to solve a math problem usingn'tarious methods."
"grammar: for example, in math club, teachers usually teach us how to solve a math problem usingn'tary ways.","For example, in math club, teachers usually teach us how to solve a math problem using different methods."
"grammar: In order hand, when I was a fresh man in my college, I could concentrate on my favorit subjects.","On the other hand, when I was a freshman at my college, I could concentrate on my favorite subjects."
"grammar: In order hand, when I was a fresh man in my college, I could concentrate on my favorit subjects.","On the other hand, when I was a freshman at my college, I could concentrate on my favorite subjects."
"grammar: In order hand, when I was a fresh man in my college, I could concentrate on my favorit subjects.","On the other hand, when I was a fresh man in my college, I could concentrate on my favorite subjects."
"grammar: In order hand, when I was a fresh man in my college, I could concentrate on my favorit subjects.","On the other hand, when I was a freshman in college, I could concentrate on my favorite subjects."
grammar: I have an IBM computer and my laptop is DELL.,I have an IBM desktop computer and my laptop is a Dell.
grammar: I have an IBM computer and my laptop is DELL.,I have an IBM computer and my laptop is DELL.
grammar: I have an IBM computer and my laptop is DELL.,"I have an IBM computer, and my laptop is a Dell."
grammar: I have an IBM computer and my laptop is DELL.,I have an IBM computer and my laptop is a Dell.
grammar: Air in China is not so clean because of cars.,Air in China is not so clean because of cars.
grammar: Air in China is not so clean because of cars.,The air in China is notn'tery clean because of pollution from cars.
grammar: Air in China is not so clean because of cars.,Air in China is not so clean because of all the cars.
grammar: Air in China is not so clean because of cars.,The air in China is not so clean because of the number of cars.
"grammar: When price of gas goes up, the consumer do not want buy gas for fuels.","When price of gas goes up, the consumers do not want buy gas for fuel."
"grammar: When price of gas goes up, the consumer do not want buy gas for fuels.","When the price of gas goes up, the consumer does not want to buy gas for fuel."
"grammar: When price of gas goes up, the consumer do not want buy gas for fuels.","When the price of gas goes up, consumers do not want to buy gas for fuel."
"grammar: When price of gas goes up, the consumer do not want buy gas for fuels.","When the price of gas goes up, consumers do not want to buy gas for fuel."
"grammar: although, learning more subjects gives us a huge knowledge which is make me sucssesfu in my study.","Although learning more subjects gives us huge knowledge, which will make me successful in my study."
"grammar: although, learning more subjects gives us a huge knowledge which is make me sucssesfu in my study.","Although, learning more subjects gives us more knowledge which could make me successful in my studies."
"grammar: although, learning more subjects gives us a huge knowledge which is make me sucssesfu in my study.","Although, learning more subjects gives us great knowledge, which makes me successful in my studies."
"grammar: although, learning more subjects gives us a huge knowledge which is make me sucssesfu in my study.","Learning more subjects gives us huge knowledge, which makes me successful in my studies."
"grammar: When you`re making a tour guide trip, you already have a everything settled from the time you`re departing to the time you arrive.","When you're making a tour guide trip, you already have everything settled from the time you're departing, to the time you arrive."
"grammar: When you`re making a tour guide trip, you already have a everything settled from the time you`re departing to the time you arrive.","When you're taking a trip with a tour guide, everything is already settled from the time you arrive until the time you depart."
"grammar: When you`re making a tour guide trip, you already have a everything settled from the time you`re departing to the time you arrive.","When you're taking a tour guide trip, you have everything settled from the time you leave to the time you arrive."
"grammar: When you`re making a tour guide trip, you already have a everything settled from the time you`re departing to the time you arrive.","When you're taking a trip with a tour guide, you already have everything settled, from the time you depart to the time you arrive."
"grammar: On the other hand, although in Turkey the public transportation is getting developed especially in the two big cities, that is, Ankara and istanbul, it is still nothing compared to Sweden.","On the other hand, although in Turkey the public transportation is developing, especially in the two big cities, that is, Ankara and istanbul, it is still nothing compared to Sweden."
"grammar: On the other hand, although in Turkey the public transportation is getting developed especially in the two big cities, that is, Ankara and istanbul, it is still nothing compared to Sweden.","On the other hand, although in Turkey public transportation is getting developed especially in the two big cities Ankara and Istanbul, it is still nothing compared to Sweden."
"grammar: On the other hand, although in Turkey the public transportation is getting developed especially in the two big cities, that is, Ankara and istanbul, it is still nothing compared to Sweden.","On the other hand, although in Turkey the public transportation is being developed, especially in the two big cities of Ankara and Istanbul, it is still nothing compared to Sweden's system."
"grammar: On the other hand, although in Turkey the public transportation is getting developed especially in the two big cities, that is, Ankara and istanbul, it is still nothing compared to Sweden.","On the other hand, Turkey's public transportation is developing, especially in the two big cities, Ankara and Istanbul, but it is still nothing compared to Sweden."
grammar: This rebuffs the reading passage's claim that there is no improvement.,This rebuffs the reading passage's claim that there is no improvement.
grammar: This rebuffs the reading passage's claim that there is no improvement.,This rebuffs the reading passage's claim that there is no improvement.
grammar: This rebuffs the reading passage's claim that there is no improvement.,This contradicts the reading passage's claim that there is no improvement.
grammar: This rebuffs the reading passage's claim that there is no improvement.,This refutes the reading passage's claim that there is no improvement.
"grammar: As they are involved with study, they donot get enough time to look after their community.","As they are involved with study, they do not get enough time to look after their community."
"grammar: As they are involved with study, they donot get enough time to look after their community.","Because they are involved with their studies, they don't get enough time to look after their community."
"grammar: As they are involved with study, they donot get enough time to look after their community.","As they are involved with their studies, they do not have enough time to look after their community."
"grammar: As they are involved with study, they donot get enough time to look after their community.","As they are involved with their studies, they do not have enough time to look after their community."
"grammar: However, I strongly maintained that traveling by their own gives a lot of advantages.","However, I strongly maintain that traveling by their own has a lot of advantages."
"grammar: However, I strongly maintained that traveling by their own gives a lot of advantages.","However, I strongly maintained that traveling by their own gives them a lot of advantages."
"grammar: However, I strongly maintained that traveling by their own gives a lot of advantages.","However, I strongly maintain that traveling on their own gives them a lot of advantages."
"grammar: However, I strongly maintained that traveling by their own gives a lot of advantages.","However, I strongly maintained that traveling on their own had a lot of advantages."
grammar: The even ask themself how this kind of things didn't cross their mind.,They even ask themselves how these kinds of things didn't cross their minds.
grammar: The even ask themself how this kind of things didn't cross their mind.,They even ask themselves how this kind of thing didn't cross their minds.
grammar: The even ask themself how this kind of things didn't cross their mind.,They even ask themselves how these kind of things didn't cross their mind.
grammar: The even ask themself how this kind of things didn't cross their mind.,They even ask themselves why this kind of thing didn't cross their mind.
"grammar: People tends to choose other medias, and that is why litterature is in danger.","People tend to choose other medias, and that is why literature is in danger."
"grammar: People tends to choose other medias, and that is why litterature is in danger.",People tend to choose other types of media and that is why literature is in danger.
"grammar: People tends to choose other medias, and that is why litterature is in danger.","People tend to choose other media types, and that is why literature is in danger."
"grammar: People tends to choose other medias, and that is why litterature is in danger.","People tend to choose other media, which is why literature is in danger."
grammar: I cast doubt that twenty years is too short time to prove the problem.,I doubt that twenty years is too short of a time to prove the problem.
grammar: I cast doubt that twenty years is too short time to prove the problem.,I cast doubt that twenty years is too short to prove the problem.
grammar: I cast doubt that twenty years is too short time to prove the problem.,I cast doubt that twenty years is too short of a time to prove the problem.
grammar: I cast doubt that twenty years is too short time to prove the problem.,I doubt that twenty years is too short of a time to solve the problem.
"grammar: So for these reasons i really believe that it's important to have a broad knowledge on different subjects, instead of being focused on just one, because sometime the answer that we are searching for, we can easily find it in a field that can seems not related to our purpose.","So, for these reasons, I really believe that it's important to have broad knowledge on different subjects instead of being focused on just one, because sometimes we can easily find the answer that we are searching for in a field that can seem unrelated to our purpose."
"grammar: So for these reasons i really believe that it's important to have a broad knowledge on different subjects, instead of being focused on just one, because sometime the answer that we are searching for, we can easily find it in a field that can seems not related to our purpose.","So for these reasons, I really believe that it's important to have a broad knowledge on different subjects, instead of being focused on just one, because sometimes the answer that we are searching for, we can easily find it in a field that can seem not related to our purpose."
"grammar: So for these reasons i really believe that it's important to have a broad knowledge on different subjects, instead of being focused on just one, because sometime the answer that we are searching for, we can easily find it in a field that can seems not related to our purpose.","So for these reasons, I really believe that it's important to have a broad knowledge of different subjects instead of being focused on just one, because sometimes the answer that we are searching for can be easily found in a field that can seem unrelated to our purpose."
"grammar: So for these reasons i really believe that it's important to have a broad knowledge on different subjects, instead of being focused on just one, because sometime the answer that we are searching for, we can easily find it in a field that can seems not related to our purpose.","For these reasons, I really believe that it's important to have broad knowledge on different subjects, instead of being focused on just one, because sometimes the answer that we are searching for can easily be found in a field that seems unrelated to our problem."
grammar: I am pleased to know intelligent peple and learn about things which I don't know.,I am pleased to know intelligent people and learn about things which I don't know.
grammar: I am pleased to know intelligent peple and learn about things which I don't know.,I am pleased to know intelligent people and learn about things that I don't know.
grammar: I am pleased to know intelligent peple and learn about things which I don't know.,I am pleased to meet intelligent people and learn new things.
grammar: I am pleased to know intelligent peple and learn about things which I don't know.,I am pleased to know intelligent people and learn about things that I don't know.
"grammar: To resolve this problem, the governments of the cities are likely to improve the public transportation system by building new subway system and adding more lines for buses.","To solve this problem, city governments are likely to improve public transportation systems by building new subway systems and adding more bus lines."
"grammar: To resolve this problem, the governments of the cities are likely to improve the public transportation system by building new subway system and adding more lines for buses.","To resolve this problem, the city governments are likely to improve the public transportation system by building new subways and adding bus lines."
"grammar: To resolve this problem, the governments of the cities are likely to improve the public transportation system by building new subway system and adding more lines for buses.","To resolve this problem, the governments of the cities are likely to improve the public transportation systems by building new subway systems and adding more lines for buses."
"grammar: To resolve this problem, the governments of the cities are likely to improve the public transportation system by building new subway system and adding more lines for buses.","To resolve this problem, city governments are likely to improve the public transportation system by building new subway systems and adding more bus lines."
"grammar: I know lots of old people who go to parties, stay always in contact with others people.",I know lots of old people who go to parties and stay in contact with other people.
"grammar: I know lots of old people who go to parties, stay always in contact with others people.",I know lots of old people who go to parties and who always stay in contact with other people.
"grammar: I know lots of old people who go to parties, stay always in contact with others people.",I know lots of older people who go to parties and always stay in contact with others.
"grammar: I know lots of old people who go to parties, stay always in contact with others people.",I know lots of old people who go to parties and always stay in contact with others.
"grammar: But these thing seem to hard for old people, they move so hardly, and don't have health body to play this thing like sports.","But these things seem too hard for old people, they move so difficultly, and don't have a healthy body to play things like sports."
"grammar: But these thing seem to hard for old people, they move so hardly, and don't have health body to play this thing like sports.","But these things seem too hard for old people, they move so slowly, and don't have health bodies to use this thing like athletes."
"grammar: But these thing seem to hard for old people, they move so hardly, and don't have health body to play this thing like sports.",But these things seem too hard for old people since they hardly move and don't have healthy bodies to play things like sports.
"grammar: But these thing seem to hard for old people, they move so hardly, and don't have health body to play this thing like sports.","These thing seem too hard for old people, because they move with so much difficulty and don't have health bodies to play sports."
"grammar: For example, if you understand the idea that all diseases, caused by microorganisms, are treated with the antibiotics, you will never use antidepressants.","For example, if you understand the idea that all diseases, caused by micro organisms, are treated with antibiotics, you will never use antidepressants."
"grammar: For example, if you understand the idea that all diseases, caused by microorganisms, are treated with the antibiotics, you will never use antidepressants.","For example, if you understand the idea that all diseases are caused by microorganisms and are treated with antibiotics, you will never use antidepressants."
"grammar: For example, if you understand the idea that all diseases, caused by microorganisms, are treated with the antibiotics, you will never use antidepressants.","For example, if you understand the idea that all diseases caused by microorganisms are treated with antibiotics, you will never use antidepressants."
"grammar: For example, if you understand the idea that all diseases, caused by microorganisms, are treated with the antibiotics, you will never use antidepressants.","For example, if you understand the idea that all diseases caused by microorganisms are treated with the antibiotics, you will never use antidepressants."
"grammar: I like about that, but after that it's gradually starting boring and finally I didn't have interesting about all the stuff.","I liked that, but after that it gradually started becoming boring and finally I didn't have any interest about the stuff."
"grammar: I like about that, but after that it's gradually starting boring and finally I didn't have interesting about all the stuff.","I liked it, but after awhile it gradually started to be boring, and eventually I didn't have interest in it."
"grammar: I like about that, but after that it's gradually starting boring and finally I didn't have interesting about all the stuff.","I like that at first, but after a while it gradually starts getting boring until finally I don't have an interest in all the stuff."
"grammar: I like about that, but after that it's gradually starting boring and finally I didn't have interesting about all the stuff.","I liked learning about that, but it gradually started to get boring and finally I didn't have any interest in all that stuff."
"grammar: In her salary we cant buy some car because we are planing to finish our hause in Binangonan, Rizal and we will planing to finish my study in Boston.","With her salary, we can't buy some car because we are planning to finish our house in Binangonan, Rizal and we will be planning to finish my study in Boston."
